# index, name, Colegio, Curso, Grupo, Sexo, prosocial, crttotal, _pos
0,3043,7,1,A,Female,0.67,2,"array([-0.82767222, -0.98253069])"
1,3047,,,,,,,"array([-1.03517219, -0.96003212])"
2,3087,7,1,B,Male,0.67,2,"array([-0.78345177, -1.1557048 ])"
3,3093,7,1,B,Female,0.67,0,"array([-0.74284001, -1.01776494])"
4,3065,7,1,A,Female,1.0,2,"array([-0.7982053 , -0.85383264])"
5,3097,7,1,B,Male,0.67,0,"array([-0.897567  , -1.13814756])"
6,3044,7,1,A,Male,0.33,0,"array([-0.93574028, -1.02913707])"
7,3045,7,1,A,Female,0.67,1,"array([-0.78657234, -0.7779845 ])"
8,3088,7,1,B,Male,1.0,1,"array([-0.70853852, -1.03821745])"
9,3056,7,1,A,Female,0.67,2,"array([-0.90684801, -0.99675754])"
10,3090,7,1,B,Male,1.0,1,"array([-0.84348052, -1.14255526])"
11,3073,7,1,B,Female,0.67,2,"array([-0.86673029, -1.23141983])"
12,3066,7,1,A,Male,1.0,1,"array([-0.89231688, -1.0447285 ])"
13,3060,7,1,A,Female,0.67,0,"array([-0.84409543, -0.86764111])"
14,3092,7,1,B,Male,0.67,1,"array([-0.94039786, -1.11608059])"
15,3096,7,1,B,Female,0.67,0,"array([-0.94295769, -1.1582281 ])"
16,3077,,,,,,,"array([-1.00605472, -1.07359159])"
17,3084,,,,,,,"array([-0.90830648, -1.07846133])"
18,3105,7,1,C,Male,0.67,2,"array([-0.7387893 , -0.91391246])"
19,3067,7,1,A,Female,1.0,2,"array([-0.9130883 , -0.91513041])"
20,3064,7,1,A,Female,0.33,2,"array([-0.80300183, -0.90204552])"
21,3081,7,1,B,Female,0.67,2,"array([-0.75967937, -1.07710546])"
22,3068,7,1,A,Male,0.67,1,"array([-0.9257767 , -0.95755447])"
23,3061,7,1,A,Female,0.67,1,"array([-0.8686135 , -0.94687253])"
24,3058,,,,,,,"array([-0.91509489, -0.7621701 ])"
25,3055,7,1,A,Female,0.0,1,"array([-0.93628936, -0.81982085])"
26,3072,7,1,B,Male,0.67,2,"array([-0.75565514, -1.19123366])"
27,3095,7,1,B,Female,0.67,2,"array([-0.86677018, -1.10404518])"
28,3051,7,1,A,Male,0.67,2,"array([-0.92871483, -0.86723907])"
29,3054,7,1,A,Female,1.0,1,"array([-0.79024124, -0.99887461])"
30,3086,7,1,B,Female,0.67,2,"array([-0.70098569, -1.17235083])"
31,3085,7,1,B,Female,0.67,1,"array([-0.8034964 , -0.95373341])"
32,3089,7,1,B,Male,0.33,1,"array([-0.66802243, -1.07650129])"
33,3048,7,1,A,Male,0.0,1,"array([-0.86589675, -1.00238143])"
34,3049,7,1,A,Female,0.33,0,"array([-0.82548888, -0.79016157])"
35,3050,7,1,A,Female,0.67,2,"array([-0.83459855, -1.02507581])"
36,3052,,,,,,,"array([-0.86707483, -0.8178203 ])"
37,3053,7,1,A,Female,1.0,2,"array([-0.86617735, -0.90415568])"
38,3059,7,1,A,Female,0.33,1,"array([-0.98589087, -1.02829158])"
39,3062,,,,,,,"array([-0.97165075, -0.97203275])"
40,3063,,,,,,,"array([-0.96383468, -0.92252616])"
41,3071,7,1,B,Female,1.0,1,"array([-0.85067888, -1.07048805])"
42,3080,,,,,,,"array([-0.87807864, -1.17872151])"
43,3108,7,1,C,Male,1.0,1,"array([-0.61138524, -1.00199523])"
44,3139,7,1,D,Male,1.0,1,"array([-0.65011851, -1.20689015])"
45,3102,,,,,,,"array([-0.7411953 , -0.81933341])"
46,3099,7,1,C,Male,0.67,2,"array([-0.68861561, -0.93183862])"
47,3111,7,1,C,Male,0.67,0,"array([-0.60133719, -0.96561545])"
48,3110,7,1,C,Male,0.67,0,"array([-0.63211626, -0.9149884 ])"
49,3115,7,1,C,Male,0.0,0,"array([-0.56066674, -0.83191794])"
50,3143,7,1,D,Male,0.67,0,"array([-0.64023621, -1.16699967])"
51,3145,7,1,D,Male,0.67,2,"array([-0.62232303, -1.1260071 ])"
52,3046,7,1,A,Male,1.0,1,"array([-0.88405567, -0.86441192])"
53,3119,7,1,C,Female,0.67,2,"array([-0.66953795, -0.99938422])"
54,3069,,,,,,,"array([-1.02867006, -0.87267834])"
55,3070,7,1,A,Male,0.67,0,"array([-0.75466617, -0.95501852])"
56,3057,7,1,A,Female,0.67,0,"array([-0.71036904, -0.97475122])"
57,3121,7,1,C,Female,0.67,2,"array([-0.68311987, -0.87225413])"
58,3098,,,,,,,"array([-0.72230225, -1.13851911])"
59,3091,,,,,,,"array([-0.78120626, -1.2557885 ])"
60,3083,7,1,B,Male,0.67,1,"array([-0.80189835, -1.11985344])"
61,3094,7,1,B,Male,1.0,2,"array([-0.68049008, -1.12086669])"
62,3074,7,1,B,Female,0.67,0,"array([-0.81506279, -1.18099536])"
63,3079,7,1,B,Male,1.0,1,"array([-0.92265776, -1.20963286])"
64,3078,7,1,B,Male,1.0,2,"array([-0.7866313 , -1.04036867])"
65,3075,7,1,B,Female,0.33,2,"array([-0.80711552, -1.07153117])"
66,3076,7,1,B,Female,0.33,1,"array([-0.76210891, -1.1161565 ])"
67,3109,7,1,C,Male,1.0,1,"array([-0.61701488, -0.82242157])"
68,3120,,,,,,,"array([-0.67127443, -0.75760218])"
69,3141,,,,,,,"array([-0.45334431, -1.10722696])"
70,3104,7,1,C,Male,0.67,0,"array([-0.63777279, -0.8705398 ])"
71,3122,7,1,C,Male,0.67,1,"array([-0.73852756, -0.86154804])"
72,3128,7,1,D,Male,0.67,1,"array([-0.61554569, -1.23636522])"
73,3126,7,1,D,Male,0.67,1,"array([-0.58432291, -1.20077485])"
74,3123,7,1,C,Female,0.67,1,"array([-0.643825  , -1.03208747])"
75,3101,7,1,C,Male,0.67,1,"array([-0.53994964, -0.87645981])"
76,3130,7,1,D,Female,0.67,1,"array([-0.71846808, -1.07848691])"
77,3125,7,1,D,Male,1.0,1,"array([-0.51807153, -1.18117959])"
78,3133,7,1,D,Male,1.0,0,"array([-0.53965034, -1.12621501])"
79,3129,7,1,D,Female,0.67,0,"array([-0.51393072, -1.09664622])"
80,3100,7,1,C,Female,0.67,1,"array([-0.68643014, -0.82493169])"
81,3137,,,,,,,"array([-0.52044638, -1.01892981])"
82,3082,7,1,B,Male,0.67,2,"array([-1.00211531, -1.13924456])"
83,3127,7,1,D,Male,0.67,1,"array([-0.58701099, -1.09698361])"
84,3131,,,,,,,"array([-0.57240906, -1.02672309])"
85,3136,,,,,,,"array([-0.57866561, -1.29714867])"
86,3138,7,1,D,Female,0.67,1,"array([-0.54028301, -1.23422895])"
87,3146,,,,,,,"array([-0.65431174, -1.29443745])"
88,3142,,,,,,,"array([-0.47838951, -1.16426033])"
89,3144,7,1,D,Male,0.33,0,"array([-0.58908786, -1.15495026])"
90,3124,,,,,,,"array([-0.55863271, -1.36188355])"
91,3135,,,,,,,"array([-0.64519953, -1.37363379])"
92,3140,,,,,,,"array([-0.49062958, -1.30805804])"
93,3147,7,1,D,Female,0.67,1,"array([-0.55855457, -1.16597149])"
94,3134,7,1,D,Male,1.0,2,"array([-0.45630022, -1.23762519])"
95,3106,7,1,C,Female,0.67,1,"array([-0.57928764, -0.90959859])"
96,3113,7,1,C,Male,0.67,0,"array([-0.64259695, -0.96657231])"
97,3116,,,,,,,"array([-0.45454623, -0.92950383])"
98,3132,7,1,D,Male,0.67,1,"array([-0.5467361 , -1.07408877])"
99,3114,7,1,C,Male,0.67,1,"array([-0.61471666, -1.06296794])"
100,3107,7,1,C,Male,1.0,1,"array([-0.54377161, -0.94352062])"
101,3112,7,1,C,Male,0.33,0,"array([-0.56206525, -0.9833102 ])"
102,3118,,,,,,,"array([-0.48797993, -0.85579987])"
103,3117,7,1,C,Male,1.0,0,"array([-0.47071632, -1.03457815])"
104,3103,,,,,,,"array([-0.46218662, -0.62747797])"
